id,name,email,password,role,phone_number,address
19,"Ganep Napitupulu, S.IP",526cinthia31@example.org,$2b$10$SP7nBlqYr2EK0M.597e8fO8mxf12cI48rrBWz/LQ.lRjZOif0yMlS,consumer,+62-0756-147-7025,"Jl. Kutisari Selatan No. 4, Pontianak, BE 17436"
20,"Garan Sihotang, S.E.I",567megantarasafina@example.org,$2b$10$v1bYvG3hGzcHN98lEhmife7UKjq/zsl0/2a2oX9sGKqg9oGnMGF9G,consumer,(021) 640 7180,"Jl. Suryakencana No. 8, Bima, Jawa Barat 76119"
21,Harjasa Mandala,527rendy14@example.com,$2b$10$biE5CGODW4ucoQ7hK3gHD.nVcOuMYO6opKviB7/GEU5DgBnhDymSa,consumer,+62-0781-941-1211,"Jalan Bangka Raya No. 87, Cimahi, Banten 73305"
22,Ilyas Lailasari,914usamahgading@example.net,$2b$10$rct0Bcfv2gOxPqgnKU0smu4JMxmxzR0HwIokxYAQIZttiNLOfOL72,consumer,+62-075-306-3614,"Jalan Asia Afrika No. 112, Kota Administrasi Jakarta Barat, DKI Jakarta 82378"
23,Aisyah Maryati,107akarsanasantoso@example.org,$2b$10$lUMBQIgwkhNQLxEghfWJZOeqD3WoOAP8pPZtOkAhx3trHt8DtotIy,consumer,(0931) 578 3743,"Gang Rumah Sakit No. 8, Tangerang Selatan, Jawa Barat 67814"
24,"Sari Hariyah, S.E.I",399cemeti18@example.net,$2b$10$.22hXEuIBzbYXcAwNLSh/.z6WWlFv6o./TomhhFlOyCJSlqO6lRFW,consumer,+62 (047) 633-6156,"Jl. Raya Setiabudhi No. 50, Pekalongan, KB 73590"
25,Hani Tarihoran,256karimansiregar@example.com,$2b$10$fuK/ziCrevuwGfnr.XCMGOhIyFyMejAgnNKIkNHtKQPLSyXs2i.mK,consumer,+62 (062) 751 5833,"Gg. BKR No. 182, Tegal, BA 57652"
26,Suci Mandala,735cicihabibi@example.com,$2b$10$yA410ed7jddTlH1mp1LfdeayMM1R267Rq8jzFoc4IzbKRwxka7HYi,consumer,(0216) 982-3903,"Jl. Siliwangi No. 673, Tarakan, JB 89107"
27,Eman Waluyo,296dsiregar@example.net,$2b$10$0/Aol9dvix2GD/ctMvuY5ucto8sukx9rFo9bXTbms0iEpcUBuQ5pa,consumer,+62 (098) 035 0052,"Gg. Erlangga No. 629, Manado, Riau 04106"
28,Hafshah Pudjiastuti,449betaniaastuti@example.com,$2b$10$vpqQ9ta9Z0Uyum9iMXCTKepyLhYhJUplnjTuoXqnBUTm4huxzjByW,consumer,+62 (46) 794-4094,"Jalan Antapani Lama No. 5, Malang, Jawa Timur 38057"
29,Vera Putra,54ckuswandari@example.com,$2b$10$tOJCQtausn1lThOhxKspC.ArTgcS1joXYsjl5EaBoU4b865AyWoNi,consumer,(0838) 392-3057,"Jl. M.H Thamrin No. 692, Padang Sidempuan, Jawa Tengah 70636"
30,R. Dina Wastuti,442edisonnugroho@example.org,$2b$10$29RafNTb4IRHbYWSoe/Ol.nepo7/kBgR2.3MewmxlT/WX9MG0x06O,consumer,+62 (0347) 484 9580,"Jl. Ronggowarsito No. 208, Kupang, Nusa Tenggara Timur 06110"
31,"Jaswadi Wulandari, M.Kom.",642tambaamelia@example.net,$2b$10$hyAl2z.1lB/Hg/9PhGf9.OZquTBTefcUHdRn60Ea3i7lF7Hsj3OMe,consumer,+62 (0279) 691-4556,"Jalan M.T Haryono No. 4, Bogor, Maluku Utara 58608"
32,Shakila Rahmawati,167budimanirfan@example.net,$2b$10$y1wHFX956urdPJNQ48BKaea6Azau8pbdeIotqYSef/1tLzaprVsYG,consumer,0855065702,"Jalan Medokan Ayu No. 801, Medan, Kalimantan Tengah 90306"
33,Hari Riyanti,431tantridabukke@example.net,$2b$10$s6q.oMfvXkBisezqGIAZyOzqx7pcnIBlcKhAM1bWtgC8QiM9CeyWS,consumer,+62 (60) 278-8627,"Gg. Cihampelas No. 8, Serang, Jawa Timur 19164"
34,Kamidin Pratiwi,925astutielma@example.com,$2b$10$CcPnR081bfGFOk9HqK2XCuD6Db8UGKf9/c2xRjQzNHrH4/NzdEl2G,consumer,080 389 2410,"Jalan Moch. Toha No. 578, Denpasar, Sulawesi Tengah 39665"
35,Indah Nashiruddin,84prasetyasiska@example.org,$2b$10$IauWTPNPUSk90GtZCchd2e3ZLhPUYpSbnfydysPEpf5WrOHuAGBQ.,consumer,(0783) 560-3601,"Jalan Dr. Djunjunan No. 77, Jambi, SU 59045"
36,"Drs. Rosman Farida, M.Kom.",27saptonosaadat@example.com,$2b$10$tKxirTutR2lec/zfhduLUOwAMZ2r6oK/90n8LL0ewXxN4sZQLzd2q,consumer,+62 (066) 909-7178,"Jalan Cempaka No. 1, Tanjungbalai, KU 08957"
37,dr. Cengkal Tarihoran,716saragihelisa@example.com,$2b$10$zPT/f4xBlPce4kZ6cvjCR.5IfH4X6dk4CU9vhsgfLXqNppS5AVNuS,consumer,+62-987-963-7917,"Jl. Siliwangi No. 7, Depok, Papua Barat 80089"
38,"Lembah Rajasa, M.Ak",97kemba49@example.org,$2b$10$4mbekZTFCAWDpTi3tTBxm..kRuAedPKOcpnADbxRl9HCIa29k/sqC,consumer,+62 (0724) 548 1843,"Jalan Tebet Barat Dalam No. 4, Jayapura, KS 12596"
39,Kusuma Wahyudin,654jagalestari@example.com,$2b$10$DpUBJkcJ4G8VwEA3cg3bBuR5peH.FhXq.tc1YDbx5c2PXaK9b/rba,consumer,+62 (0152) 043 6714,"Gang R.E Martadinata No. 9, Padang, NT 60812"
40,Enteng Wahyuni,628luhungsihombing@example.org,$2b$10$aqBXt4bDkgDxOWQ6fZrC0etaJde3algswFCJtiHL5ZUWtE1SoDrCO,consumer,0820868740,"Jalan Sadang Serang No. 35, Kediri, GO 15728"
41,"Queen Habibi, M.TI.",285vmarbun@example.net,$2b$10$PphlLElF.cPKPImIwg9.KeltCPQfeL4KgqtClTQAij/iEpTW2cbMa,consumer,(0219) 610 8422,"Jalan Cempaka No. 7, Bekasi, Sumatera Selatan 39175"
42,Lintang Hidayanto,226qrajata@example.net,$2b$10$s20rTQFt7JkNwfF/EVI/p.4KPw34jzyW8i7drBmYLRQywcW0dqPza,consumer,(076) 131 9193,"Gang Ir. H. Djuanda No. 78, Lhokseumawe, KR 67993"
43,"Tgk. Asmuni Zulaika, S.E.",294rhalim@example.com,$2b$10$tkQcF5w.Rwish71Dj52nEODzV3D6/8.o2A8d3TrtHi2wIUwLLuYyK,consumer,+62-384-791-5880,"Jl. H.J Maemunah No. 8, Manado, SG 41050"
44,"H. Rendy Utama, S.Sos",687utamaraditya@example.org,$2b$10$ZxIE7DFim1kTM6rV5kFJ4eyUSHsALonLANk3dmD4zx70qd7kAP0RW,consumer,+62 (97) 955 6449,"Jl. Rungkut Industri No. 4, Bontang, JT 98709"
45,"dr. Eva Ardianto, M.Pd",995capahassanah@example.net,$2b$10$zclfHtWyQLylQTQE2V2lXejd2M3SqEVPDfQTM16jofS6Mg6XyBooG,consumer,+62-0865-902-2508,"Jl. Bangka Raya No. 628, Bandung, Kepulauan Bangka Belitung 89269"
46,Estiawan Widodo,768langgengutama@example.com,$2b$10$aXCaFKxYiOJ.u3ytfUWRv.DIAObb7hz0wnDZ9icOR9n5vFM7myOR2,consumer,+62 (0555) 996-6985,"Gang Cihampelas No. 164, Banjar, Nusa Tenggara Barat 95534"
47,"Oliva Sitorus, M.Kom.",350nyana59@example.net,$2b$10$P44qm6pABXURUvcxDb3ZC.4MUAj0qVCBai6mlwPE0PPvcbk2sIRqS,consumer,+62 (0145) 642-7271,"Gg. Rungkut Industri No. 8, Tidore Kepulauan, Nusa Tenggara Barat 93745"
48,Kezia Usamah,476maman90@example.org,$2b$10$1NEw1uzGtDQi00JLGAS7Z.w4GLU1tCmOIXrBPe5RHuYJtX4E7Cd6O,consumer,(0018) 644-2411,"Jalan W.R. Supratman No. 0, Kota Administrasi Jakarta Selatan, JB 02023"
49,"T. Ridwan Farida, S.Kom",635opratama@example.org,$2b$10$CnrRhQYcZryakqB7I7CRLuK7UGJFHSlxHDm/9bRxl/qBe.X56b3QK,consumer,(0195) 334 3469,"Gg. Tebet Barat Dalam No. 1, Pekanbaru, SU 11264"
50,Olga Suartini,653lazuardianita@example.com,$2b$10$gIidPSvpI60kWE/aGdX1ZeHBm4XqzTmFHEOforOzlPYK6c0L7N.Pq,consumer,(054) 829 2302,"Jalan KH Amin Jasuta No. 432, Mataram, KS 28092"
